                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6271,                  2.361,                 2.4967,                   0.57,                0.43043,                0.46989,                0.21134,                 2.2664,                 1.2201,                 1.1746,             0.00066423,             0.00066423,             0.00066423
                      2,                 1.8797,                 1.1006,                 1.0548,                0.68758,                0.60632,                0.68203,                0.39113,                 1.5241,                0.96077,                0.94988,              0.0013089,              0.0013089,              0.0013089
                      3,                 1.5796,                0.98142,                0.95723,                0.70001,                0.61943,                0.70284,                0.42271,                 1.4151,                0.92426,                0.91611,              0.0019316,              0.0019316,              0.0019316
                      4,                 1.4379,                 0.9299,                0.91672,                0.73395,                0.64925,                0.74236,                0.47077,                 1.2726,                0.84713,                 0.8839,               0.001901,               0.001901,               0.001901
                      5,                 1.3509,                0.88691,                0.89494,                0.72801,                0.66926,                0.75451,                0.48674,                 1.2316,                 0.8411,                0.86792,               0.001868,               0.001868,               0.001868
                      6,                 1.2979,                0.85815,                 0.8819,                 0.7566,                0.67787,                0.77532,                 0.5196,                 1.1451,                0.80062,                0.86069,               0.001835,               0.001835,               0.001835
                      7,                 1.2515,                0.83366,                0.87444,                0.76372,                0.68301,                0.78353,                0.53562,                 1.1058,                0.76851,                 0.8541,               0.001802,               0.001802,               0.001802
                      8,                 1.2215,                0.81423,                0.87001,                 0.7687,                0.69536,                 0.7917,                0.55239,                  1.066,                 0.7439,                0.84904,               0.001769,               0.001769,               0.001769
                      9,                 1.1804,                0.79289,                0.86421,                0.77645,                0.69485,                0.79529,                0.55423,                 1.0682,                0.73535,                0.84806,               0.001736,               0.001736,               0.001736
                     10,                 1.1717,                0.78636,                0.86111,                0.75907,                0.68422,                 0.7826,                0.54009,                 1.0734,                  0.747,                0.84604,               0.001703,               0.001703,               0.001703
                     11,                 1.1409,                0.76765,                  0.858,                0.76842,                0.69838,                0.79491,                0.56353,                 1.0153,                0.71922,                0.84182,                0.00167,                0.00167,                0.00167
                     12,                 1.1252,                0.75694,                0.85572,                0.76252,                0.69802,                0.79389,                0.55965,                 1.0158,                  0.718,                0.84088,               0.001637,               0.001637,               0.001637
                     13,                 1.1111,                0.74963,                0.85338,                0.76537,                 0.7009,                0.79444,                0.56498,                 1.0006,                0.70864,                0.83892,               0.001604,               0.001604,               0.001604
                     14,                 1.1037,                0.74439,                0.85255,                0.76284,                0.70489,                0.79322,                0.56643,                0.98479,                0.71074,                0.83687,               0.001571,               0.001571,               0.001571
                     15,                 1.0845,                0.73305,                0.85053,                0.78715,                0.71384,                0.81381,                0.59116,                0.95854,                 0.6814,                0.83483,               0.001538,               0.001538,               0.001538
                     16,                 1.0756,                0.73041,                0.84974,                0.76751,                0.71011,                0.79971,                0.57392,                0.97555,                0.69187,                0.83625,               0.001505,               0.001505,               0.001505
                     17,                  1.071,                0.72499,                0.84908,                0.77454,                 0.7176,                0.80623,                0.58931,                0.94427,                0.68734,                0.83233,               0.001472,               0.001472,               0.001472
